T,O,H,L,C,V
1772582640000,86.82000000,86.84000000,86.74000000,86.77000000,12769.30000000
1772582700000,86.77000000,86.85000000,86.73000000,86.85000000,9730.95000000
1772582760000,86.88000000,86.99000000,86.87000000,86.98000000,15131.54000000
1772582820000,86.98000000,86.99000000,86.97000000,86.97000000,132.42000000
1772582880000,87.09000000,87.10000000,86.84000000,86.85000000,9805.78000000
1772582940000,86.85000000,86.86000000,86.85000000,86.85000000,1224.21000000
1772583000000,86.84000000,87.02000000,86.82000000,86.91000000,20512.20000000
1772583060000,86.95000000,86.96000000,86.86000000,86.94000000,11454.48000000
1772583120000,86.95000000,86.97000000,86.94000000,86.95000000,524.04000000
1772583180000,87.01000000,87.04000000,86.88000000,86.90000000,19543.36000000
1772583240000,86.89000000,86.91000000,86.89000000,86.91000000,422.68000000
1772583300000,87.03000000,87.12000000,87.00000000,87.11000000,22929.20000000
1772583360000,87.12000000,87.12000000,87.11000000,87.12000000,107.60000000
1772583420000,87.23000000,87.30000000,87.22000000,87.29000000,7974.94000000
1772583480000,87.19000000,87.19000000,87.15000000,87.16000000,379.14000000
1772583540000,87.07000000,87.26000000,87.06000000,87.24000000,14890.40000000
1772583600000,87.23000000,87.25000000,87.15000000,87.16000000,14193.16000000
1772583660000,87.17000000,87.22000000,87.16000000,87.22000000,2844.43000000
1772583720000,87.27000000,87.34000000,87.25000000,87.33000000,12377.95000000
1772583780000,87.33000000,87.34000000,87.08000000,87.08000000,13208.59000000
1772583840000,87.08000000,87.08000000,86.91000000,86.96000000,17044.79000000
1772583900000,86.93000000,87.06000000,86.92000000,87.00000000,10352.32000000
1772583960000,86.99000000,87.05000000,86.99000000,87.05000000,4262.16000000
1772584020000,87.01000000,87.08000000,86.99000000,87.03000000,6902.95000000
1772584080000,87.04000000,87.04000000,87.02000000,87.04000000,158.82000000
1772584140000,86.95000000,86.95000000,86.95000000,86.95000000,10.75000000
1772584200000,86.94000000,87.00000000,86.85000000,86.86000000,15689.39000000
1772584260000,86.91000000,86.94000000,86.80000000,86.83000000,9066.25000000
1772584320000,86.84000000,86.84000000,86.83000000,86.83000000,90.22000000
1772584380000,86.85000000,86.88000000,86.68000000,86.73000000,17269.54000000
1772584440000,86.71000000,86.73000000,86.43000000,86.43000000,41661.71000000
1772584500000,86.44000000,86.49000000,86.44000000,86.49000000,1495.99000000
1772584560000,86.36000000,86.60000000,86.21000000,86.58000000,77979.83000000
1772584620000,86.60000000,86.65000000,86.54000000,86.54000000,14122.19000000
1772584680000,86.58000000,86.58000000,86.45000000,86.45000000,8849.93000000
1772584740000,86.39000000,86.41000000,86.25000000,86.35000000,18828.38000000
1772584800000,86.37000000,86.47000000,86.37000000,86.39000000,17482.38000000
1772584860000,86.40000000,86.40000000,86.35000000,86.36000000,930.33000000
1772584920000,86.37000000,86.37000000,86.37000000,86.37000000,0.08000000
1772584980000,86.28000000,86.39000000,86.27000000,86.28000000,6817.70000000
1772585040000,86.30000000,86.37000000,86.25000000,86.33000000,12589.60000000
1772585100000,86.33000000,86.34000000,86.33000000,86.34000000,300.00000000
1772585160000,86.46000000,86.56000000,86.44000000,86.48000000,8572.42000000
1772585220000,86.45000000,86.50000000,86.42000000,86.49000000,5670.29000000
1772585280000,86.46000000,86.63000000,86.42000000,86.55000000,17901.98000000
1772585340000,86.59000000,86.91000000,86.59000000,86.89000000,27741.71000000
1772585400000,86.88000000,86.95000000,86.85000000,86.87000000,19672.26000000
1772585460000,86.87000000,86.87000000,86.70000000,86.74000000,16319.91000000
1772585520000,86.73000000,86.74000000,86.66000000,86.68000000,7590.75000000
1772585580000,86.68000000,86.68000000,86.66000000,86.66000000,426.16000000
1772585640000,86.61000000,86.67000000,86.60000000,86.62000000,4633.07000000
1772585700000,86.62000000,86.74000000,86.61000000,86.65000000,10580.85000000
1772585760000,86.65000000,86.71000000,86.56000000,86.57000000,6803.03000000
1772585820000,86.56000000,86.57000000,86.56000000,86.57000000,192.23000000
1772585880000,86.64000000,86.79000000,86.64000000,86.71000000,11526.91000000
1772585940000,86.72000000,86.73000000,86.72000000,86.72000000,331.72000000
1772586000000,86.58000000,86.61000000,86.58000000,86.61000000,318.79000000
1772586060000,86.60000000,86.60000000,86.59000000,86.59000000,56.11000000
1772586120000,86.65000000,87.12000000,86.59000000,87.00000000,59076.70000000
1772586180000,87.00000000,87.29000000,87.00000000,87.24000000,40300.62000000
1772586240000,87.26000000,87.39000000,87.20000000,87.37000000,33133.78000000
1772586300000,87.37000000,87.59000000,87.28000000,87.32000000,88631.43000000
1772586360000,87.31000000,87.45000000,87.20000000,87.45000000,51279.81000000
1772586420000,87.43000000,87.44000000,87.15000000,87.17000000,29594.52000000
1772586480000,87.14000000,87.16000000,86.85000000,86.89000000,37610.57000000
1772586540000,86.90000000,87.12000000,86.87000000,87.03000000,23254.48000000
1772586600000,87.08000000,87.08000000,86.91000000,86.95000000,21201.29000000
1772586660000,86.95000000,87.15000000,86.94000000,87.03000000,12001.26000000
1772586720000,87.02000000,87.02000000,87.02000000,87.02000000,7.30000000
1772586780000,87.04000000,87.04000000,86.94000000,86.96000000,10423.03000000
1772586840000,86.97000000,86.99000000,86.83000000,86.84000000,17639.41000000
1772586900000,86.87000000,86.90000000,86.79000000,86.86000000,11750.06000000
1772586960000,86.87000000,86.95000000,86.84000000,86.93000000,7749.99000000
1772587020000,86.90000000,86.99000000,86.72000000,86.73000000,10944.22000000
1772587080000,86.72000000,86.75000000,86.72000000,86.75000000,455.57000000
1772587140000,86.66000000,86.75000000,86.65000000,86.66000000,7181.88000000
1772587200000,86.69000000,86.71000000,86.56000000,86.62000000,18247.56000000
